Description,Severity,Status,Issue age,Type,Weakness,File,Technology,Origin,Remark,Locations
NPM dependency axios contains 1 vulnerability (CWE-754),HIGH,RAW,8,NPM dependency axios contains 1 vulnerability,CWE-754,package-lock.json#L1,-,SIG Open Source Health,-,package-lock.json#L1
"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities (CWE-79)",MEDIUM,RAW,8,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",CWE-79,client/scripts/components/toggle-panel.ts#L79,TypeScript,Semgrep,-,client/scripts/components/toggle-panel.ts#L79
"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities (CWE-79)",MEDIUM,RAW,8,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",CWE-79,client/scripts/components/time-picker.ts#L115,TypeScript,Semgrep,-,client/scripts/components/time-picker.ts#L115
"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities (CWE-79)",MEDIUM,RAW,8,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",CWE-79,client/scripts/controllers/filter-controller.ts#L835,TypeScript,Semgrep,-,client/scripts/controllers/filter-controller.ts#L835
"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities (CWE-79)",MEDIUM,RAW,8,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",CWE-79,client/scripts/components/route-selector.ts#L130,TypeScript,Semgrep,-,client/scripts/components/route-selector.ts#L130
"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities (CWE-79)",MEDIUM,RAW,8,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",CWE-79,client/scripts/controllers/filter-controller.ts#L1041,TypeScript,Semgrep,-,client/scripts/controllers/filter-controller.ts#L1041
Error messages with stack traces may expose sensitive information about the application (CWE-209),MEDIUM,RAW,8,Error messages with stack traces may expose sensitive information about the application,CWE-209,server/app.ts#L358,TypeScript,NodeJS Scan,-,server/app.ts#L358
This template literal looks like HTML and has interpolated variables (CWE-116),MEDIUM,RAW,8,This template literal looks like HTML and has interpolated variables,CWE-116,client/scripts/components/calendar-picker.ts#L103,TypeScript,Semgrep,-,client/scripts/components/calendar-picker.ts#L103
"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities (CWE-79)",MEDIUM,RAW,8,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",CWE-79,client/scripts/components/calendar-picker.ts#L125,TypeScript,Semgrep,-,client/scripts/components/calendar-picker.ts#L125
This template literal looks like HTML and has interpolated variables (CWE-116),MEDIUM,RAW,8,This template literal looks like HTML and has interpolated variables,CWE-116,client/scripts/controllers/filter-controller.ts#L1046,TypeScript,Semgrep,-,client/scripts/controllers/filter-controller.ts#L1046
"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities (CWE-79)",MEDIUM,RAW,8,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",CWE-79,client/scripts/trackers/vehicle-tracker.ts#L376,TypeScript,Semgrep,-,client/scripts/trackers/vehicle-tracker.ts#L376
This template literal looks like HTML and has interpolated variables (CWE-116),MEDIUM,RAW,8,This template literal looks like HTML and has interpolated variables,CWE-116,client/scripts/controllers/filter-controller.ts#L1041,TypeScript,Semgrep,-,client/scripts/controllers/filter-controller.ts#L1041
This template literal looks like HTML and has interpolated variables (CWE-116),MEDIUM,RAW,8,This template literal looks like HTML and has interpolated variables,CWE-116,client/scripts/controllers/filter-controller.ts#L835,TypeScript,Semgrep,-,client/scripts/controllers/filter-controller.ts#L835
This template literal looks like HTML and has interpolated variables (CWE-116),MEDIUM,RAW,8,This template literal looks like HTML and has interpolated variables,CWE-116,client/scripts/trackers/vehicle-tracker.ts#L376,TypeScript,Semgrep,-,client/scripts/trackers/vehicle-tracker.ts#L376
This template literal looks like HTML and has interpolated variables (CWE-116),MEDIUM,RAW,8,This template literal looks like HTML and has interpolated variables,CWE-116,client/scripts/components/dark-toggle.ts#L13,TypeScript,Semgrep,-,client/scripts/components/dark-toggle.ts#L13
